record_id,country_code,country_name,region,income_group,year,education_level,population_school_age_millions,literacy_rate_youth,literacy_rate_adult,primary_enrollment_rate,secondary_enrollment_rate,tertiary_enrollment_rate,gender_parity_index_primary,gender_parity_index_secondary,govt_expenditure_education_pct_gdp,pupil_teacher_ratio_primary,primary_completion_rate,sdg4_index_score
10070,AFG,Afghanistan,South Asia,Lower middle income,2013,Primary,6.04,78.57,74.57,85.09,63.85,33.82,0.917,0.868,1.71,27.1,76.09,57.58
10071,AFG,Afghanistan,South Asia,Lower middle income,2013,Secondary,6.04,78.57,74.57,85.09,63.85,33.82,0.917,0.868,1.71,27.1,76.09,57.58
10072,AFG,Afghanistan,South Asia,Lower middle income,2013,Tertiary,6.04,78.57,74.57,85.09,63.85,33.82,0.917,0.868,1.71,27.1,76.09,57.58
10073,AFG,Afghanistan,South Asia,Lower middle income,2014,Primary,2.14,76.51,71.8,83.45,65.49,30.75,0.884,0.9,2.26,29.0,73.47,55.93
10074,AFG,Afghanistan,South Asia,Lower middle income,2014,Secondary,2.14,76.51,71.8,83.45,65.49,30.75,0.884,0.9,2.26,29.0,73.47,55.93
10075,AFG,Afghanistan,South Asia,Lower middle income,2014,Tertiary,2.14,76.51,71.8,83.45,65.49,30.75,0.884,0.9,2.26,29.0,73.47,55.93
10076,AFG,Afghanistan,South Asia,Lower middle income,2015,Primary,1.68,80.72,74.93,87.21,67.66,30.85,0.887,0.875,2.21,30.0,75.29,56.09
10077,AFG,Afghanistan,South Asia,Lower middle income,2015,Secondary,1.68,80.72,74.93,87.21,67.66,30.85,0.887,0.875,2.21,30.0,75.29,56.09
10078,AFG,Afghanistan,South Asia,Lower middle income,2015,Tertiary,1.68,80.72,74.93,87.21,67.66,30.85,0.887,0.875,2.21,30.0,75.29,56.09
10079,AFG,Afghanistan,South Asia,Lower middle income,2016,Primary,7.13,79.86,75.55,85.59,64.09,37.24,0.947,0.888,2.61,28.0,75.25,58.8
10080,AFG,Afghanistan,South Asia,Lower middle income,2016,Secondary,7.13,79.86,75.55,85.59,64.09,37.24,0.947,0.888,2.61,28.0,75.25,58.8
10081,AFG,Afghanistan,South Asia,Lower middle income,2016,Tertiary,7.13,79.86,75.55,85.59,64.09,37.24,0.947,0.888,2.61,28.0,75.25,58.8
10082,AFG,Afghanistan,South Asia,Lower middle income,2017,Primary,2.79,80.48,74.99,84.86,62.6,38.51,0.92,0.904,2.58,30.2,75.6,55.31
10083,AFG,Afghanistan,South Asia,Lower middle income,2017,Secondary,2.79,80.48,74.99,84.86,62.6,38.51,0.92,0.904,2.58,30.2,75.6,55.31
10084,AFG,Afghanistan,South Asia,Lower middle income,2017,Tertiary,2.79,80.48,74.99,84.86,62.6,38.51,0.92,0.904,2.58,30.2,75.6,55.31
10085,AFG,Afghanistan,South Asia,Lower middle income,2018,Primary,2.71,79.37,75.23,86.93,66.24,39.9,0.913,0.896,2.53,28.1,76.69,57.05
10086,AFG,Afghanistan,South Asia,Lower middle income,2018,Secondary,2.71,79.37,75.23,86.93,66.24,39.9,0.913,0.896,2.53,28.1,76.69,57.05
10087,AFG,Afghanistan,South Asia,Lower middle income,2018,Tertiary,2.71,79.37,75.23,86.93,66.24,39.9,0.913,0.896,2.53,28.1,76.69,57.05
10088,AFG,Afghanistan,South Asia,Lower middle income,2019,Primary,11.79,80.57,76.76,85.67,68.97,38.6,0.931,0.888,2.7,32.2,74.66,56.33
10089,AFG,Afghanistan,South Asia,Lower middle income,2019,Secondary,11.79,80.57,76.76,85.67,68.97,38.6,0.931,0.888,2.7,32.2,74.66,56.33
10090,AFG,Afghanistan,South Asia,Lower middle income,2019,Tertiary,11.79,80.57,76.76,85.67,68.97,38.6,0.931,0.888,2.7,,74.66,56.33
10091,AFG,Afghanistan,South Asia,Lower middle income,2020,Primary,25.15,78.61,73.64,85.92,71.03,35.85,0.932,0.897,2.19,29.6,73.36,57.76
10092,AFG,Afghanistan,South Asia,Lower middle income,2020,Secondary,25.15,78.61,73.64,85.92,71.03,35.85,0.932,0.897,2.19,29.6,73.36,57.76
10093,AFG,Afghanistan,South Asia,Lower middle income,2020,Tertiary,25.15,78.61,73.64,85.92,71.03,35.85,0.932,0.897,2.19,29.6,73.36,57.76
10094,AFG,Afghanistan,South Asia,Lower middle income,2021,Primary,6.04,81.16,75.21,88.61,66.13,36.85,0.927,0.893,2.43,28.8,74.94,56.67
10095,AFG,Afghanistan,South Asia,Lower middle income,2021,Secondary,6.04,81.16,75.21,88.61,66.13,36.85,0.927,0.893,2.43,28.8,74.94,56.67
10096,AFG,Afghanistan,South Asia,Lower middle income,2021,Tertiary,6.04,81.16,75.21,88.61,66.13,36.85,0.927,0.893,2.43,28.8,74.94,56.67
10097,AFG,Afghanistan,South Asia,Lower middle income,2022,Primary,4.88,81.26,76.4,84.48,64.51,37.65,0.922,0.942,2.02,28.7,74.31,58.04
10098,AFG,Afghanistan,South Asia,Lower middle income,2022,Secondary,4.88,81.26,76.4,84.48,64.51,37.65,0.922,0.942,2.02,28.7,74.31,58.04
10099,AFG,Afghanistan,South Asia,Lower middle income,2022,Tertiary,4.88,81.26,76.4,84.48,64.51,37.65,0.922,0.942,2.02,28.7,74.31,58.04
10100,AFG,Afghanistan,South Asia,Lower middle income,2023,Primary,2.53,82.82,77.41,88.53,71.29,44.48,0.934,0.906,2.25,30.1,76.27,59.67
10101,AFG,Afghanistan,South Asia,Lower middle income,2023,Secondary,2.53,82.82,77.41,88.53,71.29,44.48,0.934,0.906,2.25,30.1,76.27,59.67
10102,AFG,Afghanistan,South Asia,Lower middle income,2023,Tertiary,2.53,82.82,77.41,88.53,71.29,44.48,0.934,0.906,2.25,30.1,76.27,59.67
10103,AFG,Afghanistan,South Asia,Lower middle income,2024,Primary,3.49,81.88,77.13,87.15,69.39,45.56,0.925,0.917,2.42,28.5,75.8,58.74
10104,AFG,Afghanistan,South Asia,Lower middle income,2024,Secondary,3.49,81.88,77.13,87.15,69.39,45.56,0.925,0.917,2.42,28.5,75.8,58.74
10105,AFG,Afghanistan,South Asia,Lower middle income,2024,Tertiary,3.49,81.88,77.13,87.15,69.39,45.56,0.925,0.917,2.42,28.5,75.8,58.74
10106,ALB,Albania,Europe & Central Asia,High income,1990,Primary,0.43,99.9,99.8,87.87,73.61,57.64,0.888,0.856,5.13,8.0,75.28,65.53
10107,ALB,Albania,Europe & Central Asia,High income,1990,Secondary,0.43,99.9,99.8,87.87,73.61,57.64,0.888,0.856,5.13,8.0,75.28,65.53
10108,ALB,Albania,Europe & Central Asia,High income,1990,Tertiary,0.43,99.9,99.8,87.87,73.61,57.64,0.888,0.856,5.13,8.0,75.28,65.53
10109,ALB,Albania,Europe & Central Asia,High income,1991,Primary,17.29,99.9,99.8,88.22,76.01,51.77,0.918,0.878,5.48,8.0,79.87,67.01
10110,ALB,Albania,Europe & Central Asia,High income,1991,Secondary,17.29,99.9,99.8,88.22,76.01,51.77,0.918,0.878,5.48,8.0,79.87,67.01
10111,ALB,Albania,Europe & Central Asia,High income,1991,Tertiary,17.29,99.9,99.8,88.22,76.01,51.77,0.918,0.878,,8.0,79.87,67.01
10112,ALB,Albania,Europe & Central Asia,High income,1992,Primary,1.96,99.9,99.8,91.51,74.12,58.39,0.914,0.877,5.02,8.0,82.21,66.07
10113,ALB,Albania,Europe & Central Asia,High income,1992,Secondary,1.96,99.9,99.8,91.51,74.12,58.39,0.914,0.877,5.02,8.0,82.21,66.07
10114,ALB,Albania,Europe & Central Asia,High income,1992,Tertiary,1.96,99.9,99.8,91.51,74.12,58.39,0.914,0.877,5.02,8.0,82.21,66.07
10115,ALB,Albania,Europe & Central Asia,High income,1993,Primary,0.61,99.9,99.8,88.94,73.32,58.0,0.93,0.904,4.99,8.0,74.18,64.34
10116,ALB,Albania,Europe & Central Asia,High income,1993,Secondary,0.61,99.9,99.8,88.94,73.32,58.0,0.93,0.904,4.99,8.0,74.18,64.34
10117,ALB,Albania,Europe & Central Asia,High income,1993,Tertiary,0.61,99.9,99.8,88.94,73.32,58.0,0.93,0.904,4.99,8.0,74.18,64.34
10118,ALB,Albania,Europe & Central Asia,High income,1994,Primary,0.62,99.9,99.8,91.11,76.77,52.04,0.929,0.919,5.29,8.0,82.28,66.93
10119,ALB,Albania,Europe & Central Asia,High income,1994,Secondary,0.62,99.9,99.8,91.11,76.77,52.04,0.929,0.919,5.29,8.0,82.28,66.93
10120,ALB,Albania,Europe & Central Asia,High income,1994,Tertiary,0.62,99.9,99.8,91.11,76.77,52.04,0.929,0.919,5.29,8.0,82.28,66.93
10121,ALB,Albania,Europe & Central Asia,High income,1995,Primary,1.55,99.9,99.8,88.93,78.09,56.04,0.913,0.913,5.73,8.0,79.13,65.93
10122,ALB,Albania,Europe & Central Asia,High income,1995,Secondary,1.55,99.9,99.8,88.93,78.09,56.04,0.913,0.913,5.73,8.0,79.13,65.93
10123,ALB,Albania,Europe & Central Asia,High income,1995,Tertiary,1.55,99.9,99.8,88.93,78.09,56.04,0.913,0.913,5.73,8.0,79.13,65.93
10124,ALB,Albania,Europe & Central Asia,High income,1996,Primary,1.92,99.9,99.8,86.96,77.99,58.11,0.949,0.907,5.35,8.0,76.18,67.18
10125,ALB,Albania,Europe & Central Asia,High income,1996,Secondary,1.92,99.9,99.8,86.96,77.99,58.11,0.949,0.907,5.35,8.0,76.18,67.18
10126,ALB,Albania,Europe & Central Asia,High income,1996,Tertiary,1.92,99.9,99.8,86.96,77.99,58.11,0.949,0.907,5.35,8.0,76.18,67.18
10127,ALB,Albania,Europe & Central Asia,High income,1997,Primary,1.24,99.9,99.8,90.15,80.77,57.1,0.92,0.934,3.98,8.0,75.86,66.4
10128,ALB,Albania,Europe & Central Asia,High income,1997,Secondary,1.24,99.9,99.8,90.15,80.77,57.1,0.92,0.934,3.98,8.0,75.86,66.4
10129,ALB,Albania,Europe & Central Asia,High income,1997,Tertiary,1.24,99.9,99.8,90.15,80.77,57.1,0.92,0.934,3.98,8.0,75.86,66.4
10130,ALB,Albania,Europe & Central Asia,High income,1998,Primary,0.59,99.9,99.8,87.95,80.73,54.48,0.905,0.913,5.5,8.0,76.7,66.49
10131,ALB,Albania,Europe & Central Asia,High income,1998,Secondary,0.59,99.9,99.8,87.95,80.73,54.48,0.905,0.913,5.5,8.0,76.7,66.49
10132,ALB,Albania,Europe & Central Asia,High income,1998,Tertiary,0.59,99.9,99.8,87.95,80.73,54.48,0.905,0.913,5.5,8.0,76.7,66.49
10133,ALB,Albania,Europe & Central Asia,High income,1999,Primary,3.48,99.9,99.8,92.29,78.77,58.65,0.929,0.926,4.28,8.0,81.91,65.21
10134,ALB,Albania,Europe & Central Asia,High income,1999,Secondary,3.48,99.9,99.8,92.29,78.77,58.65,0.929,0.926,4.28,8.0,81.91,65.21
10135,ALB,Albania,Europe & Central Asia,High income,1999,Tertiary,3.48,99.9,99.8,92.29,78.77,58.65,0.929,0.926,4.28,8.0,81.91,65.21
10136,ALB,Albania,Europe & Central Asia,High income,2000,Primary,10.66,99.9,99.8,94.98,78.57,57.6,0.946,0.937,5.03,8.0,88.39,69.25
10137,ALB,Albania,Europe & Central Asia,High income,2000,Secondary,10.66,99.9,99.8,94.98,78.57,57.6,0.946,0.937,5.03,8.0,88.39,69.25
10138,ALB,Albania,Europe & Central Asia,High income,2000,Tertiary,10.66,99.9,99.8,94.98,78.57,57.6,0.946,0.937,5.03,8.0,88.39,69.25
10139,ALB,Albania,Europe & Central Asia,High income,2001,Primary,2.53,99.9,99.8,91.34,80.28,58.41,0.941,0.962,5.14,8.0,82.3,69.2
10140,ALB,Albania,Europe & Central Asia,High income,2001,Secondary,2.53,99.9,99.8,91.34,80.28,58.41,0.941,0.962,5.14,8.0,82.3,69.2
10141,ALB,Albania,Europe & Central Asia,High income,2001,Tertiary,2.53,99.9,99.8,91.34,80.28,58.41,0.941,0.962,5.14,8.0,82.3,69.2
10142,ALB,Albania,Europe & Central Asia,High income,2002,Primary,2.99,99.9,99.8,90.09,77.38,51.48,0.927,0.906,5.55,8.0,77.9,68.85
10143,ALB,Albania,Europe & Central Asia,High income,2002,Secondary,2.99,99.9,99.8,90.09,77.38,51.48,0.927,0.906,5.55,8.0,77.9,68.85
10144,ALB,Albania,Europe & Central Asia,High income,2002,Tertiary,2.99,99.9,99.8,90.09,77.38,51.48,0.927,0.906,5.55,8.0,77.9,68.85
10145,ALB,Albania,Europe & Central Asia,High income,2003,Primary,3.98,99.9,99.8,93.28,82.4,60.71,0.943,0.937,4.95,8.0,81.53,67.44
10146,ALB,Albania,Europe & Central Asia,High income,2003,Secondary,3.98,99.9,99.8,93.28,82.4,60.71,0.943,0.937,4.95,8.0,81.53,67.44
10147,ALB,Albania,Europe & Central Asia,High income,2003,Tertiary,3.98,99.9,99.8,93.28,82.4,60.71,0.943,0.937,4.95,8.0,81.53,67.44
10148,ALB,Albania,Europe & Central Asia,High income,2004,Primary,8.9,99.9,99.8,90.47,80.93,54.93,0.932,0.944,4.42,8.0,79.58,67.79
10149,ALB,Albania,Europe & Central Asia,High income,2004,Secondary,8.9,99.9,99.8,90.47,80.93,54.93,0.932,0.944,4.42,8.0,79.58,67.79
10150,ALB,Albania,Europe & Central Asia,High income,2004,Tertiary,8.9,99.9,99.8,90.47,80.93,54.93,0.932,0.944,4.42,8.0,79.58,67.79
10151,ALB,Albania,Europe & Central Asia,High income,2005,Primary,5.64,99.9,99.8,90.24,79.34,57.27,0.957,0.935,5.41,8.0,79.97,69.8
10152,ALB,Albania,Europe & Central Asia,High income,2005,Secondary,5.64,99.9,99.8,90.24,79.34,57.27,0.957,0.935,5.41,8.0,79.97,69.8
10153,ALB,Albania,Europe & Central Asia,High income,2005,Tertiary,5.64,99.9,99.8,90.24,79.34,57.27,0.957,0.935,5.41,8.0,79.97,69.8
10154,ALB,Albania,Europe & Central Asia,High income,2006,Primary,2.4,99.9,99.8,90.3,81.26,67.66,0.934,0.976,5.56,8.0,80.6,69.71
10155,ALB,Albania,Europe & Central Asia,High income,2006,Secondary,2.4,99.9,99.8,90.3,81.26,67.66,0.934,0.976,5.56,8.0,80.6,69.71
10156,ALB,Albania,Europe & Central Asia,High income,2006,Tertiary,2.4,99.9,99.8,90.3,81.26,67.66,0.934,0.976,5.56,8.0,80.6,69.71
10157,ALB,Albania,Europe & Central Asia,High income,2007,Primary,3.98,99.9,99.8,94.02,83.97,54.43,0.954,0.97,4.55,8.0,83.57,69.1
10158,ALB,Albania,Europe & Central Asia,High income,2007,Secondary,3.98,99.9,99.8,94.02,83.97,54.43,0.954,0.97,4.55,8.0,83.57,69.1
10159,ALB,Albania,Europe & Central Asia,High income,2007,Tertiary,3.98,99.9,99.8,94.02,83.97,54.43,0.954,0.97,4.55,8.0,83.57,69.1
10160,ALB,Albania,Europe & Central Asia,High income,2008,Primary,1.58,99.9,99.8,94.89,79.56,59.96,0.969,0.951,5.79,8.0,83.89,68.51
10161,ALB,Albania,Europe & Central Asia,High income,2008,Secondary,1.58,99.9,99.8,94.89,79.56,59.96,0.969,0.951,5.79,8.0,83.89,68.51
10162,ALB,Albania,Europe & Central Asia,High income,2008,Tertiary,1.58,99.9,99.8,94.89,79.56,59.96,0.969,0.951,5.79,8.0,83.89,68.51
10163,ALB,Albania,Europe & Central Asia,High income,2009,Primary,3.35,99.9,99.8,91.78,77.31,62.57,0.99,0.951,5.27,8.0,80.57,67.97
10164,ALB,Albania,Europe & Central Asia,High income,2009,Secondary,3.35,99.9,99.8,91.78,77.31,62.57,0.99,0.951,5.27,8.0,80.57,67.97
10165,ALB,Albania,Europe & Central Asia,High income,2009,Tertiary,3.35,99.9,99.8,91.78,77.31,62.57,0.99,0.951,5.27,8.0,80.57,67.97
10166,ALB,Albania,Europe & Central Asia,High income,2010,Primary,1.13,99.9,99.8,95.94,86.58,63.57,0.955,0.928,4.6,8.0,83.2,69.27
10167,ALB,Albania,Europe & Central Asia,High income,2010,Secondary,1.13,99.9,99.8,95.94,86.58,63.57,0.955,0.928,4.6,8.0,83.2,69.27
10168,ALB,Albania,Europe & Central Asia,High income,2010,Tertiary,1.13,99.9,99.8,95.94,86.58,63.57,0.955,0.928,4.6,8.0,83.2,69.27
